Gene_ID	Level	LogFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	Gene_ID.y	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4	protein_ID	transcript_ID
gene_234	76.2145275053527	-0.771703130955393	388	Spore germination protein	Grosmannia clavigera	Sporothrix schenckii			spore germination protein	0	-		Y	gene_236	215	0	77	181	250	67	8	131	1978796	1979050
gene_2340	106.873338425944	-0.615444872613393	578	Transcriptional regulatory protein pro-1	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	1	P:transcription, DNA-dependent	-	N	gene_2352	148	31	134	174	103	113	50	200	1980912	1981166
gene_2341	12.158044846046	0.968375600400455	360	Mitochondrial chaperone	Grosmannia clavigera	Ophiostoma piceae	K14847	RPF2; ribosome production factor 2	brix domain-containing protein	2	F:nucleoside-triphosphatase activity; F:ATP binding	EC:3.6.1.15	N	gene_2353	10	8	29	37	4	8	0	41	1980913	1981167
gene_2342	14.4262174418598	-0.331773409171442	505	Mitochondrial chaperone BCS1	Togninia minima	Ophiostoma piceae	K08900	BCS1; mitochondrial chaperone BCS1	mitochondrial chaperone bcs1	2	F:nucleoside-triphosphatase activity; F:ATP binding	EC:3.6.1.15	N	gene_2354	22	6	18	16	6	6	12	12	1980914	1981168
gene_2343	11.2252216541879	-0.771405279214621	272	37S ribosomal protein S18, mitochondrial (YmS18)	Grosmannia clavigera	Ophiostoma piceae			mitochondrial ribosomal protein subunit s18	1	C:intracellular	-	N	gene_2355	24	0	14	31	10	6	8	24	1980915	1981169
gene_2344	21.3600678820115	0.12185417197232	533	Mitochondrial import inner membrane translocase subunit tim44	Grosmannia clavigera	Ophiostoma piceae			mitochondrial inner membrane translocase subunit tim44	3	F:P-P-bond-hydrolysis-driven protein transmembrane transporter activity; C:mitochondrial inner membrane presequence translocase complex; P:intracellular protein transport	-	N	gene_2356	28	7	37	75	32	17	2	57	1980916	1981170
gene_2345	12.8595366876131	-1.28147331887645	1 187	Vacuolar ABC heavy metal transporter	Grosmannia clavigera	Ophiostoma piceae	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial	vacuolar abc heavy metal transporter	4	P:cellular process; P:transport; F:ATPase activity; F:nucleotide binding	EC:3.6.1.3	N	gene_2357	6	0	24	28	14	20	8	11	1980917	1981171
gene_2346	19.2262627296745	0.172332360649173	1 380	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1060	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_2358	32	6	30	71	17	16	2	67	1980918	1981172
gene_2347	3.70089380309468	-0.30124715487157	301	GPN-loop GTPase 3 homolog FG00420	Grosmannia clavigera	Ophiostoma piceae	K06883	Unclassified; Poorly Characterized	gpn-loop gtpase 3 like protein	3	F:nucleoside-triphosphatase activity; F:ATP binding; P:mycelium development	EC:3.6.1.15	N	gene_2359	7	0	4	20	8	4	0	11	1980919	1981173
gene_2348	5.17248092184001	-0.268560429823999	204	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_594	2	P:biological_process; C:cellular_component		N	gene_2360	8	0	11	21	9	2	1	21	1980920	1981174
gene_2349	12.7523967971295	-0.759250821890624	518	Phosphatidylinositol phospholipase c	Grosmannia clavigera	Ophiostoma piceae	K01771	E4.6.1.13, plc; 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]	1-phosphatidylinositol phosphodiesterase	5	P:lipid metabolic process; P:intracellular signal transduction; F:phosphoric diester hydrolase activity; F:phospholipase C activity; C:intracellular		N	gene_2361	9	1	28	30	22	2	8	31	1980921	1981175
gene_235	27.4511889835731	0.0860546241822426	600	Transcriptional repressor tup1	Grosmannia clavigera	Ophiostoma piceae	K06666	TUP1; glucose repression regulatory protein TUP1	transcriptional repressor tup1	0	-		N	gene_237	78	0	33	154	28	26	4	76	1978797	1979051
gene_2350	17.5990967750514	-0.07673882910602	1 369	Serine/threonine-protein kinase RAD53 (CHEK2 homolog)	Grosmannia clavigera	Ophiostoma piceae	K02831	RAD53; ser/thr/tyr protein kinase RAD53 [EC:2.7.11.-]	serine threonine-protein kinase-like protein	1	F:kinase activity	-	N	gene_2362	31	0	39	80	19	35	0	21	1980922	1981176
gene_2351	11.6063073621653	0.457122469169966	309	rRNA-processing protein utp23 (U three protein 23)	Grosmannia clavigera	Ophiostoma piceae	K14773	UTP23; U3 small nucleolar RNA-associated protein 23	rrna-processing protein utp23	2	P:metabolic process; F:catalytic activity		N	gene_2363	12	8	12	34	6	5	0	63	1980923	1981177
gene_2352	5.49369364021276	-0.103112713644544	672	Similar to transcription factor Cys6	Exophiala aquamarina	Ophiostoma piceae			c6 transcription	6	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus		N	gene_2364	19	0	0	34	10	2	0	28	1980924	1981178
gene_2353	1.14442209127785	0.401713991516448	558	Acetamidase	Capronia coronata	Ophiostoma piceae	K01426	E3.5.1.4, amiE; amidase [EC:3.5.1.4]	general amidase	2	F:oxidoreductase activity; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	EC:3.5.1.0	N	gene_2365	6	0	0	8	0	0	0	8	1980925	1981179
gene_2354	0.946378380942306	0.171430136822706	697	Probable urea active transporter 1	Dothistroma septosporum	Ophiostoma piceae			solute symporter family transporter	5	C:integral to membrane; C:membrane; P:transmembrane transport; P:transport; F:transporter activity		N	gene_2366	8	0	0	0	4	0	0	0	1980926	1981180
gene_2355	6.48159380713997	-0.737406128195421	453	Protein phosphatase	Grosmannia clavigera	Ophiostoma piceae			protein phosphatase	2	F:catalytic activity; P:metabolic process	-	N	gene_2367	10	0	9	22	8	10	0	31	1980927	1981181
gene_2356	19.3653414260214	-0.847028537656458	90	ATP synthase subunit e, mitochondrial (Translocase of the inner membrane protein 11)	Grosmannia clavigera	Ophiostoma piceae			mitochondrial f0 subunit e	3	F:hydrogen ion transmembrane transporter activity; C:mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); P:ATP synthesis coupled proton transport	-	N	gene_2368	25	2	31	40	43	16	6	47	1980928	1981182
gene_2357	14.6552328484309	0.321796361929048	712	Dynein intermediate	Grosmannia clavigera	Ophiostoma piceae	K10415	DYNC1I, DNCI; dynein intermediate chain, cytosolic	cytoplasmic dynein 1 intermediate chain 2	2	P:translational initiation; F:translation initiation factor activity	-	N	gene_2369	32	4	22	60	10	20	0	38	1980929	1981183
gene_2358	27.4493720349087	0.369490768369783	754	Oligosaccharyl transferase subunit	Grosmannia clavigera	Ophiostoma piceae	K07151	STT3; dolichyl-diphosphooligosaccharide--protein glycosyltransferase [EC:2.4.1.119]	oligosaccharyl transferase stt3 subunit	6	C:ribosome; F:structural constituent of ribosome; P:protein glycosylation; F:oligosaccharyl transferase activity; C:membrane; P:translation	-	N	gene_2370	84	8	29	97	5	16	11	63	1980930	1981184
gene_2359	0.529863975980021	-1.04245379941022	388	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_2371	0	0	0	0	0	0	0	10	1980931	1981185
gene_236	6.1276859787104	1.16212303298764	335	Ribonuclease MRP protein subunit rmp1 (RNA-processing protein rmp1)	Sclerotinia borealis	Ophiostoma piceae			ribonuclease mrp protein subunit rmp1	0	-		N	gene_238	0	8	0	20	8	2	0	10	1978798	1979052
gene_2360	0	0	346	Zinc finger DNA-binding protein	Grosmannia clavigera	Ophiostoma piceae			zinc finger dna-binding protein	3	F:nucleic acid binding; F:zinc ion binding; F:DNA binding		N	gene_2372	0	0	0	0	0	0	0	0	1980932	1981186
gene_2361	8.10070344077874	0.222924893756105	637	Tubulin-specific chaperone E (Tubulin-folding cofactor E)	Togninia minima	Ophiostoma piceae			tubulin-specific chaperone e	2	P:biological_process; C:cellular_component		N	gene_2373	18	4	8	18	26	4	0	6	1980933	1981187
gene_2362	95.470936180473	-0.185590649695451	310	Peroxisomal dehydratase	Pestalotiopsis fici	Ophiostoma piceae			peroxisomal dehydratase	2	F:oxidoreductase activity; P:oxidation-reduction process	-	N	gene_2374	72	38	176	196	58	96	42	153	1980934	1981188
gene_2363	69.953404816413	-0.599783922100922	492	Casein kinase 2 beta 2 subunit	Grosmannia clavigera	Ophiostoma piceae			casein kinase 2 beta 2 subunit	2	F:kinase activity; P:phosphorylation		N	gene_2375	161	4	104	161	119	46	22	215	1980935	1981189
gene_2364	25.952883453138	0.628668701426224	439	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7879	0	-		Y	gene_2376	72	0	27	219	45	10	0	70	1980936	1981190
gene_2365	51.3907453921336	-0.119356346077947	1 407	Major facilitator superfamily transporter	Grosmannia clavigera	Ophiostoma piceae			transmembrane and coiled-coil domain-containing protein 4	1	C:integral to membrane		N	gene_2377	68	22	70	106	62	82	2	102	1980937	1981191
gene_2366	62.8705047653822	-0.36916282767581	1 490	PH domain-containing protein	Colletotrichum higginsianum	Ophiostoma piceae	K12609	CAF120; CCR4-NOT transcriptional complex subunit CAF120	ph domain-containing protein	1	F:phospholipid binding		N	gene_2378	112	12	74	206	79	41	16	237	1980938	1981192
gene_2367	7.39037514068692	-1.27370772702118	329	Carbon-carbon lyase	Grosmannia clavigera	Ophiostoma piceae	K11390	CLYBL; citrate lyase subunit beta-like protein [EC:4.1.-.-]	carbon-carbon lyase	1	F:carbon-carbon lyase activity	-	N	gene_2379	16	0	2	18	7	12	2	32	1980939	1981193
gene_2368	8.85856570434618	-0.733269988820231	192	Golgi apparatus membrane protein TVP23	Podospora anserina	Ophiostoma piceae			golgi apparatus membrane protein tvp23	2	C:Golgi membrane; C:integral to membrane	-	N	gene_2380	21	0	11	22	14	8	4	17	1980940	1981194
gene_2369	44.371397005758	-0.193666044894114	457	Transcription factor	Grosmannia clavigera	Ophiostoma piceae			transcription factor	1	F:zinc ion binding		N	gene_2381	93	0	94	164	53	45	6	144	1980941	1981195
gene_237	25.8446769572558	-0.266213051367733	809	Bifunctional purine biosynthesis protein	Grosmannia clavigera	Ophiostoma piceae	K11788	ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]	phosphoribosylformylglycinamidine cyclo-ligase	7	P:purine nucleobase biosynthetic process; F:metal ion binding; F:ATP binding; F:phosphoribosylamine-glycine ligase activity; F:phosphoribosylformylglycinamidine cyclo-ligase activity; C:cytoplasm; P:'de novo' IMP biosynthetic process	EC:6.3.4.13; EC:6.3.3.1	N	gene_239	34	0	74	80	49	24	0	94	1978799	1979053
gene_2370	33.0776572080994	0.378951592305171	967	Succinate flavoprotein subunit	Togninia minima	Ophiostoma piceae			px domain-containing protein	6	F:flavin adenine dinucleotide binding; F:phosphatidylinositol binding; P:electron transport chain; P:cell communication; P:tricarboxylic acid cycle; F:oxidoreductase activity, acting on the CH-CH group of donors	-	N	gene_2382	75	0	63	211	40	12	8	80	1980942	1981196
gene_2371	91.2501325012387	-0.0453013930736729	645	Succinate flavoprotein subunit	Grosmannia clavigera	Ophiostoma piceae	K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	succinate flavoprotein subunit	6	F:flavin adenine dinucleotide binding; F:phosphatidylinositol binding; P:electron transport chain; P:cell communication; P:tricarboxylic acid cycle; F:oxidoreductase activity, acting on the CH-CH group of donors	-	N	gene_2383	155	30	160	189	107	65	28	200	1980943	1981197
gene_2372	5.88476421302026	-0.70744021687205	485	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5867	0	-		N	gene_2384	8	0	16	6	18	2	3	2	1980944	1981198
gene_2373	25.5334508075051	0.0295173948347495	529	Sterol demethylase (CYP51F1)	Leptographium 'qinlingensis'	Ophiostoma piceae	K05917	CYP51; cytochrome P450, family 51 (sterol 14-demethylase) [EC:1.14.13.70]	eburicol 14a-demethylase	9	F:sterol 14-demethylase activity; F:electron carrier activity; F:iron ion binding; F:heme binding; P:ergosterol biosynthetic process; P:methylation; F:methyltransferase activity; C:endoplasmic reticulum; P:oxidation-reduction process	EC:1.14.13.70; EC:2.1.1.0	N	gene_2385	63	4	43	82	48	8	4	82	1980945	1981199
gene_2374	9.01175210841739	0.739090417156509	687	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5842	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_2386	20	0	37	33	9	8	0	18	1980946	1981200
gene_2375	33.5142123404332	0.373436853785601	1 025	Kinesin-related protein 11 (Kinesin-7)	Grosmannia clavigera	Ophiostoma piceae	K11498	CENPE; centromeric protein E	kinesin-ii 85 kda subunit	4	P:microtubule-based movement; F:ATP binding; F:microtubule motor activity; C:microtubule	-	N	gene_2387	101	6	52	129	42	16	4	104	1980947	1981201
gene_2376	12.8110821120426	0.0986325726216731	559	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5915	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_2388	42	0	8	79	32	8	0	28	1980948	1981202
gene_2377	14.7733883105651	0.83486291453478	375	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	Grosmannia clavigera	Ophiostoma piceae	K07748	E1.1.1.170, NSDHL, ERG26; sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170]	sterol-4-alpha-carboxylate 3-dehydrogenase like protein	4	P:steroid biosynthetic process; F:nucleotide binding; P:oxidation-reduction process; F:3-beta-hydroxy-delta5-steroid dehydrogenase activity	EC:1.1.1.145	N	gene_2389	51	2	24	82	16	10	0	34	1980949	1981203
gene_2378	4.44274276998038	-0.122873727194078	580	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5898	0	-		N	gene_2390	12	0	6	20	8	2	0	22	1980950	1981204
gene_2379	60.4327490761123	0.351878300347554	357	Putative uncharacterized protein	Endocarpon pusillum	Ophiostoma piceae			hmg box protein	0	-		N	gene_2391	157	16	87	223	62	35	13	147	1980951	1981205
gene_238	13.1623030246694	-1.30485206164407	795	Vacuolar amino acid transporter 1	Grosmannia clavigera	Sporothrix schenckii	K15015	SLC32A, VGAT; solute carrier family 32 (vesicular inhibitory amino acid transporter)	vacuolar amino acid transporter 1	5	C:vacuole; F:neutral amino acid transmembrane transporter activity; F:L-amino acid transmembrane transporter activity; P:amino acid transport; C:membrane	-	N	gene_240	23	0	12	26	16	2	14	15	1978800	1979054
gene_2380	23.100833948639	-0.246936141250223	832	Heat shock protein 78, mitochondrial	Grosmannia clavigera	Ophiostoma piceae			heat shock protein mitochondrial precursor	3	F:nucleoside-triphosphatase activity; F:ATP binding; P:response to stress	EC:3.6.1.15	N	gene_2392	12	16	8	45	37	8	8	66	1980952	1981206
gene_2381	145.836003833394	0.411186900912968	184	ADP-ribosylation factor 2-B (ARF1-like protein U5)	Grosmannia clavigera	Ophiostoma piceae	K07977	ARF; Arf/Sar family, other	adp-ribosylation factor	6	F:GTP binding; C:intracellular; P:Golgi to plasma membrane transport; P:macroautophagy; P:ER to Golgi vesicle-mediated transport; P:small GTPase mediated signal transduction	-	N	gene_2393	383	51	207	433	219	78	21	308	1980953	1981207
gene_2382	27.9401310272556	0.600210640843175	203	Endosomal cargo receptor	Grosmannia clavigera	Ophiostoma piceae			endosomal protein p24b	6	C:ER to Golgi transport vesicle; P:vesicle organization; P:protein retention in ER lumen; C:integral to membrane; P:ER to Golgi vesicle-mediated transport; C:endoplasmic reticulum	-	Y	gene_2394	75	10	55	70	36	15	6	34	1980954	1981208
gene_2383	12.8354961015499	0.155910169303979	976	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein GLRG_01623	2	F:molecular_function; C:cellular_component		N	gene_2395	39	0	16	71	18	7	2	38	1980955	1981209
gene_2384	11.4353823994175	-0.969864639056127	309	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5909	0	-		N	gene_2396	2	2	14	37	16	26	0	31	1980956	1981210
gene_2385	12.4164431184525	1.1521596549508	440	Splicing factor U2AF-associated protein 2 (Cold sensitive U2 snRNA suppressor 2 homolog)	Grosmannia clavigera	Ophiostoma piceae	K13093	HTATSF1; HIV Tat-specific factor 1	splicing factor u2af-associated protein 2	2	F:organic cyclic compound binding; 	-	N	gene_2397	42	4	26	49	18	4	0	21	1980957	1981211
gene_2386	25.1556957522661	-0.412171449209784	394	26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_5837	1	C:intracellular part	-	N	gene_2398	50	2	28	103	62	10	5	73	1980958	1981212
gene_2387	80.8743343287988	0.740305367668439	202	60S ribosomal protein L6-A (L17)	Grosmannia clavigera	Ophiostoma piceae	K02934	RP-L6e, RPL6; large subunit ribosomal protein L6e	60s ribosomal protein l6	4	C:ribosome; P:mycelium development; F:structural constituent of ribosome; P:translation	-	N	gene_2399	190	36	139	252	80	41	4	244	1980959	1981213
gene_2388	68.4205485543154	-0.0303165527544913	778	Probable dipeptidyl peptidase 3	Neurospora crassa	Ophiostoma piceae	K01277	E3.4.14.4, DPP3; dipeptidyl-peptidase III [EC:3.4.14.4]	dipeptidyl-peptidase 3	4	C:cytoplasm; P:proteolysis; C:nucleus; F:dipeptidyl-peptidase activity	-	N	gene_2400	145	10	108	264	72	75	16	124	1980960	1981214
gene_2389	23.6460369500117	0.72550840993369	246	Thermoresistant gluconokinase family protein	Grosmannia clavigera	Ophiostoma piceae	K00851	E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]	thermoresistant gluconokinase	4	P:carbohydrate metabolic process; F:ATP binding; P:phosphorylation; F:shikimate kinase activity	EC:2.7.1.71	N	gene_2401	27	8	54	122	18	20	2	48	1980961	1981215
gene_239	8.74987239371614	-0.151016033259912	456	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7677	0	-		N	gene_241	20	0	16	36	12	4	0	51	1978801	1979055
gene_2390	24.2929751096551	0.875014497655268	541	Biotin-dependent 2-oxo acid dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K09699	E2.3.1.168, bkdB; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]	biotin-dependent 2-oxo acid dehydrogenase	3	F:dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity; P:fatty-acyl-CoA biosynthetic process; F:cofactor binding	EC:2.3.1.168	N	gene_2402	14	7	75	136	34	25	0	12	1980962	1981216
gene_2391	7.53646570209273	-0.926830866169203	375	Mitochondrial ATPase complex subunit ATP10	Sordaria macrospora	Ophiostoma piceae			related to f1f0 atpase complex assembly protein	2	P:mitochondrial proton-transporting ATP synthase complex assembly; C:mitochondrial inner membrane		N	gene_2403	6	0	9	32	4	8	4	26	1980963	1981217
gene_2392	5.91938051443737	-0.708063952018584	235	Golgi SNAP receptor complex member 1 (Golgi SNARE protein 1)	Grosmannia clavigera	Ophiostoma piceae	K08495	GOSR1, GOS1; golgi SNAP receptor complex member 1	vesicle transport v-snare protein	5	C:Golgi membrane; C:integral to membrane; C:cis-Golgi network; P:ER to Golgi vesicle-mediated transport; P:protein transport	-	N	gene_2404	14	0	9	11	11	8	2	6	1980964	1981218
gene_2393	78.965419503346	0.203880343120204	123	60S ribosomal protein L35	Grosmannia clavigera	Ophiostoma piceae	K02918	RP-L35e, RPL35; large subunit ribosomal protein L35e	60s ribosomal protein l35	4	F:structural constituent of ribosome; P:translation; C:ribosome; C:intracellular		N	gene_2405	130	32	102	264	101	55	8	244	1980965	1981219
gene_2394	18.257710261067	-0.951309205293696	699	Zinc finger and SCAN domain-containing protein 21 (Transcription factor RU49)	Grosmannia clavigera	Ophiostoma piceae	K09228	KRAB; KRAB domain-containing zinc finger protein	zinc finger protein csr1p	3	F:nucleic acid binding; F:zinc ion binding; C:intracellular		N	gene_2406	24	0	12	86	12	24	10	38	1980966	1981220
gene_2395	14.1175356939592	0.890548422779463	129	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5904	0	-		N	gene_2407	18	6	40	51	8	18	0	17	1980967	1981221
gene_2396	31.7232137954255	-0.685610520844852	1 268	Pre-mRNA-processing ATP-dependent RNA helicase PRP5	Grosmannia clavigera	Ophiostoma piceae	K12811	DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]	pre-mrna-processing atp-dependent rna helicase prp5	7	P:RNA splicing; F:ATP-dependent helicase activity; P:mycelium development; F:nucleic acid binding; P:mRNA processing; F:ATP binding; C:nucleus	-	N	gene_2408	51	0	36	140	52	34	8	87	1980968	1981222
gene_2397	152.104802929244	0.544131264463682	230	Elongation factor 1-beta (EF-1-beta)	Trichoderma atroviride	Ophiostoma piceae	K03232	EEF1B; elongation factor 1-beta	elongation factor 1-beta	3	F:translation elongation factor activity; C:eukaryotic translation elongation factor 1 complex; P:translational elongation	-	N	gene_2409	481	44	197	545	170	85	18	395	1980969	1981223
gene_2398	7.21260338860188	0.161541911142186	225	DNA replication complex GINS protein PSF1	Togninia minima	Ophiostoma piceae	K10732	GINS1, PSF1; GINS complex subunit 1	dna replication complex gins protein psf1	2	C:nucleus; P:DNA replication	-	N	gene_2410	13	2	4	43	14	6	0	17	1980970	1981224
gene_2399	27.8466768065973	0.266295394789653	1 176	Sulfate transporter family protein	Verticillium dahliae	Ophiostoma piceae	K03321	TC.SULP; sulfate permease, SulP family	cyclic nucleotide-binding domain-containing protein	4	C:integral to membrane; P:sulfate transport; C:membrane; F:sulfate transmembrane transporter activity		N	gene_2411	74	10	28	86	32	28	0	85	1980971	1981225
gene_24	31.1991769474767	0.0285407727439197	389	26S protease regulatory subunit 8 homolog (Protein CIM3/SUG1/TBY1)	Gaeumannomyces graminis	Ophiostoma piceae	K03066	PSMC5, RPT6; 26S proteasome regulatory subunit T6	26s protease regulatory subunit 8	7	C:cytoplasm; F:peptidase activity; P:protein catabolic process; F:ATP binding; C:proteasome complex; F:nucleoside-triphosphatase activity; P:proteolysis	EC:3.6.1.15	N	gene_26	73	8	49	79	53	17	6	78	1978586	1978840
gene_240	7.2994939832498	-0.781982846820141	71	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_7636	0	-		N	gene_242	7	0	22	6	10	0	0	70	1978802	1979056
gene_2400	7.97030918278849	-0.000234640722183727	187	60S ribosome subunit biogenesis protein NIP7 (Nuclear import protein 7)	Grosmannia clavigera	Ophiostoma piceae	K07565	NIP7; 60S ribosome subunit biogenesis protein NIP7	60s ribosome subunit biogenesis protein nip7	5	P:ribosomal large subunit biogenesis; F:RNA binding; P:ribosome assembly; C:nucleus; C:preribosome, large subunit precursor	-	N	gene_2412	8	6	4	10	9	6	2	20	1980972	1981226
gene_2401	50.0746229594033	0.117161575638515	556	Integral membrane protein	Magnaporthe oryzae	Ophiostoma piceae			integral membrane protein	2	C:cytoplasm; C:integral to membrane	-	N	gene_2413	111	8	115	135	76	42	0	169	1980973	1981227
gene_2402	49.3796703773839	0.328572120290157	1 320	Rho-type GTPase-activating protein 1	Grosmannia clavigera	Sporothrix schenckii			rho-type gtpase-activating protein 1	3	P:signal transduction; C:intracellular; F:zinc ion binding	-	N	gene_2414	73	28	60	124	46	18	14	136	1980974	1981228
gene_2403	36.4836062689511	-0.00130730111441825	390	Zinc-regulated transporter 1 (High-affinity zinc transport protein ZRT1)	Trichoderma virens	Ophiostoma piceae	K14709	SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3	zinc-regulated transporter 1	4	P:metal ion transport; C:membrane; F:metal ion transmembrane transporter activity; P:transmembrane transport	-	N	gene_2415	35	29	14	40	24	49	13	21	1980975	1981229
gene_2404	0	0	39	Putative uncharacterized protein	 				---NA---	0	-		N	gene_2416	0	0	0	0	0	0	0	0	1980976	1981230
gene_2405	11.2791693697571	-0.0550015998443148	314	Mitochondrial phosphate carrier protein	Grosmannia clavigera	Ophiostoma piceae			mitochondrial phosphate carrier protein	2	P:transmembrane transport; C:integral to membrane	-	N	gene_2417	25	0	23	48	27	2	2	31	1980977	1981231
gene_2406	20.576630365194	0.14974517953131	570	Amidase	Grosmannia clavigera	Ophiostoma piceae	K02433	gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	glutamyl-trna amidotransferase subunit	1	F:catalytic activity		N	gene_2418	67	6	18	54	60	8	2	22	1980978	1981232
gene_2407	169.530548011566	-0.0515891619232981	833	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_3359	0	-		N	gene_2419	163	50	352	503	145	195	38	370	1980979	1981233
gene_2408	0.568041000629999	-0.927682452864418	92	Putative uncharacterized protein	 				---NA---	0	-		N	gene_2420	0	0	0	1	1	0	0	8	1980980	1981234
gene_2409	6.39668445342248	1.14695331309414	117	Putative uncharacterized protein	 				---NA---	0	-		N	gene_2421	27	4	8	8	2	5	0	14	1980981	1981235
gene_241	79.2038493088397	0.0759141143452268	309	Actin cytoskeleton protein	Grosmannia clavigera	Ophiostoma piceae			rna recognition domain-containing protein	2	F:organic cyclic compound binding; 	-	N	gene_243	213	6	132	316	108	51	6	297	1978803	1979057
gene_2410	18.3559051231342	0.679921890032207	427	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			peroxin 20	0	-		N	gene_2422	47	4	49	59	14	9	4	38	1980982	1981236
gene_2411	14.9318509305538	0.0936632041898289	334	Protein transport protein sec-13	Grosmannia clavigera	Ophiostoma piceae	K14004	SEC13; protein transport protein SEC13	protein transport protein sec13	6	C:nuclear pore; C:endoplasmic reticulum membrane; P:mRNA transport; P:vesicle-mediated transport; C:ER to Golgi transport vesicle membrane; P:protein transport	-	N	gene_2423	31	4	21	52	21	12	2	38	1980983	1981237
gene_2412	16.8177663193334	0.47411977385402	553	General stress response protein Whi2 	Togninia minima	Ophiostoma piceae			general stress response protein whi2	1	F:nucleic acid binding	-	N	gene_2424	59	0	43	58	35	8	0	37	1980984	1981238
gene_2413	26.4811471326169	0.522062292094205	740	G patch domain-containing protein 1 (Evolutionarily conserved G-patch domain-containing protein)	Grosmannia clavigera	Ophiostoma piceae	K13123	GPATCH1; G patch domain-containing protein 1	g patch domain-containing protein 1	2	F:nucleic acid binding; P:biological_process		N	gene_2425	26	16	38	88	28	8	6	68	1980985	1981239
gene_2414	34.0634905249368	-0.618475347208218	1 071	Serine/threonine-protein kinase	Magnaporthe oryzae	Ophiostoma piceae	K00924	E2.7.1.-; unclassified signal transduction	camk camkl kin1 protein kinase	3	P:phosphorylation; F:protein kinase activity; F:nucleotide binding	-	N	gene_2426	72	2	34	119	28	27	18	85	1980986	1981240
gene_2415	11.3446987073349	-0.624935861460671	411	Cell differentiation protein rcd1	Eutypa lata	Ophiostoma piceae	K12606	RCD1, CNOT9, CAF40; CCR4-NOT transcription complex subunit 9	cell differentiation protein rcd1	2	P:regulation of transcription from RNA polymerase II promoter; C:CCR4-NOT core complex	-	N	gene_2427	18	2	0	56	12	7	6	31	1980987	1981241
