Gene_ID	Level.x	Level.y	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	Gene_ID.y	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4	protein_ID	transcript_ID
gene_7312	130.704161338319	-7.3654092552076	2 833	Polyketide synthase (PKS)	Scedosporium apiospermum	Scedosporium apiospermum	K12431	pks2; polyketide synthase 2	hybrid pks-nrps	5	F:transferase activity; P:metabolic process; F:nucleotide binding; F:catalytic activity; F:phosphopantetheine binding		N	gene_7336	2	0	0	4	1200	19	0	48	1985896	1986150
gene_7352	68.3824872683145	-2.40416136581618	653	Phenol 2-monooxygenase (Phenol hydroxylase)	Colletotrichum higginsianum	Ophiostoma piceae			fad binding domain-containing protein	2	P:oxidation-reduction process; F:oxidoreductase activity	-	N	gene_7374	8	14	34	20	20	18	102	62	1985934	1986188
gene_7377	17.3240790254377	-2.37950995506041	644	Major facilitator superfamily transporter multidrug resistance	Grosmannia clavigera	Ophiostoma piceae			major facilitator superfamily transporter multidrug resistance	3	C:integral to membrane; P:mycelium development; P:transmembrane transport	-	N	gene_7398	4	0	16	21	0	21	1	204	1985958	1986212
gene_738	11.9768081275656	-2.15432001259811	138	50S ribosomal protein L34	Neurospora crassa	Ophiostoma piceae			ribosomal protein l34	2	P:protein metabolic process; C:ribonucleoprotein complex	-	N	gene_739	8	0	6	21	14	11	12	18	1979299	1979553
gene_7435	9.41404886941073	-2.19019514150463	571	Histone acetyltransferase rtt109	Colletotrichum higginsianum	Ophiostoma piceae	K11309	RTT109, KAT11; regulator of Ty1 transposition protein 109	h3 k56 histone acetylation protein kat11	0	-		N	gene_7460	6	0	2	20	10	2	12	16	1986020	1986274
gene_7455	5.65052584234037	-2.47503732920923	531	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein VDAG_05774	2	F:nucleic acid binding; F:nucleotide binding		N	gene_7481	4	0	2	2	2	4	8	7	1986041	1986295
gene_7475	3.49253322779463	-2.04871845787638	659	Laccase-1 (Benzenediol:oxygen oxidoreductase 1/Diphenol oxidase 1/Ligninolytic phenoloxidase/Urishiol oxidase 1)	Grosmannia clavigera	Ophiostoma piceae			laccase precursor	6	P:secondary metabolic process; F:copper ion binding; P:cellulose catabolic process; F:hydroquinone:oxygen oxidoreductase activity; P:cellular metabolic process; C:extraorganismal space	-	Y	gene_7500	2	0	0	6	11	6	0	18	1986060	1986314
gene_753	11.6165356613886	-2.14728314984505	674	DNA topoisomerase 3	Grosmannia clavigera	Ophiostoma piceae	K03165	TOP3; DNA topoisomerase III [EC:5.99.1.2]	dna topoisomerase iii	3	F:DNA topoisomerase type I activity; C:chromosome; P:DNA topological change	EC:5.99.1.2	N	gene_753	12	0	6	13	2	8	15	18	1979313	1979567
gene_8033	6.22692265902854	-3.12815394824872	293	Uncharacterized methyltransferase C1B3.06c	Trichoderma virens	Sporothrix schenckii			methyltransferase- family protein	6	F:methyltransferase activity; P:metabolic process; P:methylation; F:transferase activity; P:biological_process; C:cellular_component		N	gene_8061	0	0	0	6	16	2	8	2	1986621	1986875
gene_8118	10.3554673494955	-2.49056595189973	309	Altered inheritance of mitochondria protein 6	Grosmannia clavigera	Ophiostoma piceae			alkaline phosphatase	2	P:lipid metabolic process; F:phosphoric diester hydrolase activity	EC:3.1.4.0	Y	gene_8144	0	0	2	26	10	4	14	12	1986704	1986958
gene_8575	3.15120886895032	-2.08028108277238	496	High-affinity glucose transporter	Fusarium graminearum	Ophiostoma piceae	K08142	SLC2A3, GLUT3; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 3	af136235_1ascus development protein 3	3	P:transmembrane transport; C:integral to membrane; F:substrate-specific transmembrane transporter activity	-	N	gene_8603	2	0	0	4	2	8	2	6	1987163	1987417
gene_94	57.6989115123272	-2.68707827680525	121	Putative uncharacterized protein	Aureobasidium subglaciale	Ophiostoma piceae			hypothetical protein MGG_04873	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_97	68	6	0	4	41	183	20	98	1978657	1978911
gene_959.2	1.52478699480812	-2.01777014617143	256	Putative uncharacterized protein	 	Ophiostoma piceae				0	-		N	gene_962	0	0	0	0	2	4	0	12	1979522	1979776
gene_961	14.0701315147223	-2.59656455048744	523	JmjC domain-containing protein 5	Magnaporthe oryzae	Ophiostoma piceae			domain-containing protein 5	5	F:molecular_function; P:biological_process; C:cellular_component; F:methyltransferase activity; P:methylation		N	gene_964	0	0	8	24	18	2	20	10	1979524	1979778
