Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	G_T1_Rep1	G_T1_Rep2	G_T1_Rep3	G_T1_Rep4	G_T2_Rep1	G_T2_Rep2	G_T2_Rep3	G_T2_Rep4
gene_7406	135.828006541616	3.20595626288815	164	Small secreted protein	Togninia minima	Ophiostoma piceae			small secreted protein	0	-		Y	1018	106	0	1204	189	21	3	12
gene_744	6.04091731827285	2.05703539977419	479	rRNA-processing protein efg1	Grosmannia clavigera	Ophiostoma piceae			rrna-processing protein efg1	1	P:biological_process		N	26	10	0	20	20	2	0	0
gene_7440	71.3460594077048	2.16128740574018	330	Glycoside hydrolase family 10 protein	Thielavia terrestris	Ophiostoma piceae			glycoside hydrolase family 10 protein	4	P:interaction with host via protein secreted by type II secretion system; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:cation binding; P:xylan catabolic process	EC:3.2.1.0	Y	383	52	6	539	42	43	58	6
gene_7723	102.186048028756	2.34811039287728	1 726	GTPase-activating protein BEM3	Grosmannia clavigera	Ophiostoma piceae	K08773	RALBP1; RalA-binding protein 1	rhogap with ph domain protein	3	P:regulation of nucleobase-containing compound metabolic process; F:binding; P:transcription, DNA-dependent	-	N	48	35	70	130	124	38	27	18
gene_7726	99.0579273537289	2.75211611529572	643	CNT family concentrative nucleoside transporter	Scedosporium apiospermum	Ophiostoma piceae	K03317	TC.CNT; concentrative nucleoside transporter, CNT family	h+ nucleoside cotransporter	3	F:nucleoside:sodium symporter activity; C:membrane; P:transport		N	801	38	10	779	250	12	28	0
gene_78	18.4524113404501	2.01009035861988	470	Sun domain containing protein	Grosmannia clavigera	Ophiostoma piceae			septation protein sun4	1	P:mycelium development	-	Y	95	13	0	198	48	10	9	0
gene_7813	57.0772319875056	2.27849170215986	206	Secreted protein	Grosmannia clavigera	Grosmannia clavigera			bacterial-type extracellular deoxyribonuclease	0	-		Y	450	12	13	268	55	9	4	18
gene_787	13.7663170152783	2.19463440082524	739	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7275	2	P:biological_process; C:cellular_component		N	23	0	10	24	5	24	0	0
gene_7903	7.20548525754903	2.78026744248692	444	Cytoplasmic tRNA 2-thiolation protein 1 (Cytoplasmic tRNA adenylyltransferase 1)	Myceliophthora thermophila	Ophiostoma piceae	K14168	CTU1, NCS6; cytoplasmic tRNA 2-thiolation protein 1 [EC:2.7.7.-]	atp-binding domain-containing protein 3	4	F:hydrolase activity; P:tRNA wobble position uridine thiolation; C:cytosol; P:protein urmylation	-	N	4	4	4	42	10	0	2	0
gene_7953	10.161364711011	2.68267466428762	517	Beta-1,3-glucan-binding protein (GBP)	Fusarium oxysporum	Ophiostoma piceae			glucan -beta-glucosidase	1	F:hydrolase activity	-	N	8	18	2	32	24	2	0	0
gene_7970	3.90281954609697	2.1143086403253	590	Pentachlorophenol 4-monooxygenase	Grosmannia clavigera	Ophiostoma piceae			pentachlorophenol 4-monooxygenase	2	F:monooxygenase activity; P:oxidation-reduction process	-	N	42	0	0	44	12	0	0	0
gene_8058	6.72653243168036	2.03995596987928	708	Serine/threonine-protein kinase svkA (Severin kinase A)	Grosmannia clavigera	Ophiostoma piceae	K08838	STK24, MST3; serine/threonine kinase 24 [EC:2.7.11.1]	mst3-like protein	3	F:kinase activity; P:phosphorylation; F:nucleotide binding	-	N	29	8	0	54	14	4	2	0
gene_8063	10.498286451717	2.04502185939771	558	DHHC zinc finger membrane protein	Grosmannia clavigera	Ophiostoma piceae			dhhc zinc finger membrane protein	3	F:metal ion binding; F:zinc ion binding; C:intracellular		N	0	8	6	11	20	8	4	0
gene_8142	12.4622533491038	2.03076615811696	1 017	GAS2 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			gas2 domain containing protein	3	P:cell cycle arrest; F:molecular_function; C:cellular_component		N	35	22	0	46	16	6	4	2
gene_8189	24.0709994120116	2.83879929333573	194	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			hypothetical protein THITE_2110967	3	F:molecular_function; P:biological_process; C:cellular_component		Y	122	26	0	225	36	16	0	0
gene_8476	189.451596217223	2.04522492171061	1 283	Ankyrin-repeat-containing protein	Trichoderma virens	Ophiostoma piceae			ankyrin repeat-containing	4	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:nucleoside metabolic process; P:carbohydrate metabolic process; F:catalytic activity		N	1327	64	4	1987	754	72	12	9
gene_8483	2.33880447540202	2.2802884561378	326	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_3430	3	F:molecular_function; P:biological_process; C:cellular_component		N	4	0	2	4	2	0	0	0
gene_8504	11.1264218511829	4.10417681133793	389	Glucoamylase I	Colletotrichum fioriniae	Ophiostoma piceae			starch binding domain-containing protein	4	P:metabolic process; C:viral capsid; F:catalytic activity; F:starch binding	-	Y	25	16	0	148	2	0	1	0
gene_8516	17.8736949196901	3.01624122101324	131	Putative uncharacterized protein	Sordaria macrospora	Sporothrix schenckii			hypothetical protein SMAC_03647	0	-		N	73	34	0	51	38	3	0	0
gene_8519	39.9345065308587	3.23259215233249	1 685	Sulfite reductase flavoprotein, alpha-component	Stachybotrys chartarum	Ophiostoma piceae			sulfite reductase flavoprotein alpha-component	3	F:heme binding; F:oxidoreductase activity; P:oxidation-reduction process	-	N	128	60	0	346	42	2	4	4
gene_8546	3.4083812330847	2.96657119818028	1 163	Putative ariadne-like RING finger protein R811	Colletotrichum gloeosporioides	Ophiostoma piceae			dihydroxyacid dehydratase	2	F:zinc ion binding; F:metal ion binding		N	12	6	0	28	0	0	0	0
gene_8608	17.8958594869058	2.69828888350077	366	Putative uncharacterized protein	Fusarium oxysporum	Fusarium oxysporum			cytochrome p450	0	-		N	81	17	4	77	28	8	4	0
