Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
gene_1866	0.0876935538508856	0.233135979246061	330	Protein QA-X	Pyrenophora teres	Ophiostoma piceae			inositol monophosphatase	4	F:inositol monophosphate 4-phosphatase activity; F:inositol monophosphate 1-phosphatase activity; P:phosphatidylinositol phosphorylation; F:inositol monophosphate 3-phosphatase activity	EC:3.1.3.25	N	0	2	0	0	0	0	0	0
gene_1867	0.607391008065614	-1.14716471244978	541	High affinity methionine permease	Grosmannia clavigera	Ophiostoma piceae			amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	0	0	0	0	0	0	4	0
gene_1868	0	0	286	15-hydroxyprostaglandin dehydrogenase	Glarea lozoyensis	Sporothrix schenckii			uncharacterized oxidoreductase	5	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding; F:alcohol dehydrogenase (NAD) activity		N	0	0	0	0	0	0	0	0
gene_1869	0.607391008065614	-1.14716471244978	441	Putative uncharacterized protein	Nectria haematococca	Ophiostoma piceae			bzip transcription	3	P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:sequence-specific DNA binding transcription factor activity		N	0	0	0	0	0	0	4	0
gene_187	0	0	1 562	Serine-rich protein	Grosmannia clavigera	Ophiostoma piceae			serine-rich protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1870	0	0	580	Tannase	Neofusicoccum parvum	Neofusicoccum parvum			tannase subunit	2	F:tannase activity; F:hydrolase activity		N	0	0	0	0	0	0	0	0
gene_1871	0	0	226	O-methyltransferase, putative	Aspergillus oryzae	Ophiostoma piceae			o-	2	F:O-methyltransferase activity; P:methylation	-	N	0	0	0	0	0	0	0	0
gene_1872	0	0	2 118	Serine/threonine-protein kinase RIM15	Grosmannia clavigera	Ophiostoma piceae	K12767	RIM15; serine/threonine-protein kinase RIM15 [EC:2.7.11.1]	agc protein kinase	7	P:primary metabolic process; F:protein kinase activity; F:signal transducer activity; P:cellular macromolecule metabolic process; F:nucleotide binding; P:phosphorylation; P:signal transduction	-	N	0	0	0	0	0	0	0	0
gene_1873	0.46588816574164	-0.949928063045303	264	Lipase, gdsl	Grosmannia clavigera	Ophiostoma piceae			sgnh hydrolase	1	F:hydrolase activity		N	0	0	0	0	0	2	0	0
gene_1874	0	0	686	COP9 signalosome complex subunit 4 (Signalosome subunit 4)	Fusarium oxysporum	Ophiostoma piceae	K12178	COPS4, CSN4; COP9 signalosome complex subunit 4	pci domain-containing protein	2	C:membrane; P:translation	-	N	0	0	0	0	0	0	0	0
gene_1875	0	0	217	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7276	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1876	3.29570515418787	-0.0188047935315351	363	Zinc-binding oxidoreductase	Grosmannia clavigera	Ophiostoma piceae			zinc-binding oxidoreductase	5	P:oxidation-reduction process; F:oxidoreductase activity; F:nucleotide binding; F:zinc ion binding; F:S-(hydroxymethyl)glutathione dehydrogenase activity		N	0	12	0	26	0	4	2	6
gene_1877	0.320637636721706	-0.318639063595179	755	Transcriptional regulator CRZ1	Grosmannia clavigera	Ophiostoma piceae			c2h2 type zinc finger domain containing protein	1	F:binding	-	N	0	2	0	0	0	1	0	0
gene_1878	0	0	763	Vegetative incompatibility protein Het-X	Cladophialophora psammophila	Cladophialophora psammophila			hypothetical protein TRIATDRAFT_80005	2	F:zinc ion binding; C:intracellular		N	0	0	0	0	0	0	0	0
gene_1879	0	0	136	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_188	0	0	621	Mboat family protein	Grosmannia clavigera	Ophiostoma piceae	K13519	LPT1, ALE1; lysophospholipid acyltransferase [EC:2.3.1.51 2.3.1.23 2.3.1.-]	membrane-bound o-acyltransferase domain-containing protein 1	2	F:O-acyltransferase activity; C:endoplasmic reticulum membrane	-	N	0	0	0	0	0	0	0	0
gene_1880	1.07228392832543	0.195939473148062	2 908	Beta-ketoacyl synthase domain-containing protein	Colletotrichum graminicola	Ophiostoma piceae	K00665	FASN; fatty acid synthase, animal type [EC:2.3.1.85]	hybrid pks-nrps	5	F:transferase activity; P:metabolic process; F:catalytic activity; F:phosphopantetheine binding; F:nucleotide binding		N	0	8	0	6	0	2	0	0
gene_1881	0.911086512098422	-1.4968064406278	357	Zinc-type alcohol dehydrogenase-like protein C2E1P3.01	Trichoderma atroviride	Ophiostoma piceae			alcohol dehydrogenase	1	F:oxidoreductase activity	-	N	0	0	0	0	0	0	6	0
gene_1882	1.7341689783424	-0.0929034546473349	643	Fluconazole resistance protein 1	Togninia minima	Ophiostoma piceae			fluconazole resistance protein 1	2	P:transmembrane transport; C:integral to membrane	-	N	2	6	0	10	0	0	6	0
gene_1883	0	0	920	GPI ethanolamine phosphate transferase 2	Magnaporthe oryzae	Ophiostoma piceae	K05310	GPI7; ethanolaminephosphotransferase [EC:2.7.-.-]	gpi ethanolamine phosphate transferase	3	P:metabolic process; F:catalytic activity; F:transferase activity		N	0	0	0	0	0	0	0	0
gene_1884	0.0876935538508856	0.233135979246061	1 070	Condensin complex subunit 3 (CAPG homolog)	Grosmannia clavigera	Ophiostoma piceae	K06678	YCG1, CAPG; condensin complex subunit 3	condensin subunit cnd3	4	C:condensin complex; P:mitotic chromosome condensation; C:nucleus; C:cytosol	-	N	0	2	0	0	0	0	0	0
gene_1885	0	0	822	Ribosome biogenesis protein	Grosmannia clavigera	Sporothrix schenckii	K14573	NOP4, RBM28; nucleolar protein 4	rna recognition domain-containing protein	2	F:organic cyclic compound binding; 	-	N	0	0	0	0	0	0	0	0
gene_1886	0	0	512	Protein RTA1	Grosmannia clavigera	Ophiostoma piceae			rta1 protein	2	P:response to stress; C:integral to membrane		N	0	0	0	0	0	0	0	0
gene_1887	0	0	721	Sterol uptake control protein 2 (Mannoprotein regulation by oxygen protein 4)	Nectria haematococca	Nectria haematococca			c6 finger domain protein	8	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:sequence-specific DNA binding transcription factor activity; F:DNA binding		N	0	0	0	0	0	0	0	0
gene_1888	0	0	871	NIPA-like protein 2	Podospora anserina	Ophiostoma piceae			duf803 domain protein membrane protein	3	C:membrane; P:magnesium ion transport; F:magnesium ion transmembrane transporter activity		N	0	0	0	0	0	0	0	0
gene_1889	1.67630435720888	-0.883318116576136	638	Acetate/butyrate-CoA ligase AAE7 (AMP-binding protein 7)	Grosmannia clavigera	Ophiostoma piceae			amp-binding domain protein	2	P:metabolic process; F:catalytic activity	-	N	4	2	0	2	0	4	2	0
gene_189	1.25030182200723	1.32449617029009	376	Golgi GDP-mannose transporter	Grosmannia clavigera	Ophiostoma piceae	K15356	VRG4, GONST1; GDP-mannose transporter	gdp-mannose transporter	11	P:transmembrane transport; C:cytoplasmic vesicle membrane; C:mitochondrion; C:integral to membrane; C:Golgi membrane; P:GDP-mannose transport; F:GDP-mannose transmembrane transporter activity; P:carbohydrate transport; C:endoplasmic reticulum membrane; P:lipid glycosylation; P:protein N-linked glycosylation	-	N	14	0	0	4	0	0	0	2
gene_1890	15.1567238895066	0.304827890615629	477	Beta-glucosidase 1B (Cellobiase 1B)	Scedosporium apiospermum	Ophiostoma piceae	K01188	E3.2.1.21; beta-glucosidase [EC:3.2.1.21]	beta-glucosidase a	3	P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:cation binding	EC:3.2.1.0	N	6	41	4	102	0	6	22	28
gene_1891	0	0	273	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7085	5	F:carbon-sulfur lyase activity; P:metabolic process; F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1892	0	0	1 259	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7180	0	-		Y	0	0	0	0	0	0	0	0
gene_1893	0	0	540	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7333	0	-		N	0	0	0	0	0	0	0	0
gene_1894	0	0	719	Vegetative incompatibility protein Het-6	Coniosporium apollinis	Ophiostoma piceae			heterokaryon incompatibility	2	P:proteolysis; F:aspartic-type endopeptidase activity		N	0	0	0	0	0	0	0	0
gene_1895	0	0	562	Interferon-induced GTP-binding protein Mx2	Metarhizium acridum	Metarhizium acridum			interferon-induced gtp-binding protein mx2	1	F:nucleotide binding	-	N	0	0	0	0	0	0	0	0
gene_1896	0	0	165	Interferon-induced GTP-binding protein Mx2	Stachybotrys chartarum	Ophiostoma piceae			interferon-induced gtp-binding protein mx2	1	F:nucleotide binding	-	N	0	0	0	0	0	0	0	0
gene_1897	0.607391008065614	-1.14716471244978	334	Putative dipeptidase CPSG_01350	Pestalotiopsis fici	Ophiostoma piceae			zn-dependent microsomal dipeptidase	4	F:dipeptidase activity; F:metalloexopeptidase activity; F:dipeptidyl-peptidase activity; P:proteolysis	EC:3.4.13.0	N	0	0	0	0	0	0	4	0
gene_1898	0	0	488	Pantothenate transporter liz1	Scedosporium apiospermum	Ophiostoma piceae			pantothenate transporter liz1	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	0	0	0	0	0
gene_1899	0	0	432	Putative uncharacterized protein	Ophiocordyceps sinensis	Ophiostoma piceae			heterokaryon incompatibility protein	7	F:metal ion binding; P:oxidation-reduction process; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding; F:electron carrier activity; F:iron ion binding; F:monooxygenase activity		N	0	0	0	0	0	0	0	0
gene_19	0.46588816574164	-0.949928063045303	292	Alpha/beta-hydrolase	Togninia minima	Ophiostoma piceae			3-oxoadipate enol-lactonase	1	F:hydrolase activity		N	0	0	0	0	0	2	0	0
gene_190	0	0	463	Short chain dehydrogenase reductase	Grosmannia clavigera	Ophiostoma piceae			short chain dehydrogenase reductase	1	P:metabolic process	-	N	0	0	0	0	0	0	0	0
gene_1900	7.4598274595336	0.0665746657178099	1 452	P-type calcium transporter	Grosmannia clavigera	Ophiostoma piceae	K01537	E3.6.3.8; Ca2+-transporting ATPase [EC:3.6.3.8]	plasma membrane calcium-transporting atpase 3	5	F:ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; F:nucleotide binding; P:cation transport; P:cellular metabolic process; C:membrane	-	N	28	28	0	17	2	8	0	16
gene_1901	2.67560723120701	-2.15779785815961	813	Tubulin-tyrosine ligase family protein	Grosmannia clavigera	Ophiostoma piceae			ttl domain-containing protein	2	P:pathogenesis; F:catalytic activity	-	N	0	2	0	2	6	0	4	0
gene_1902	0.170414364786833	0.423124966716581	487	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_6110	0	-		N	0	0	0	4	0	0	0	0
gene_1903	0.0852071823934164	0.227019381253042	282	DASH complex subunit duo1 (Outer kinetochore protein duo1)	Grosmannia clavigera	Ophiostoma piceae			dash complex subunit	0	-		N	0	0	0	2	0	0	0	0
gene_1904	0	0	462	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_6424	1	C:nucleus		N	0	0	0	0	0	0	0	0
gene_1905	0	0	890	Peroxisomal biogenesis factor 2	Grosmannia clavigera	Ophiostoma piceae	K10736	MCM10; minichromosome maintenance protein 10	cell division cycle protein	4	P:DNA replication; F:zinc ion binding; C:nucleus; P:cell division		N	0	0	0	0	0	0	0	0
gene_1906	0	0	472	Methionyl-tRNA formyltransferase family	Grosmannia clavigera	Ophiostoma piceae	K00604	MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]	methionyl-trna formyltransferase family	6	P:biosynthetic process; F:hydroxymethyl-, formyl- and related transferase activity; F:transferase activity; P:translational initiation; F:methionyl-tRNA formyltransferase activity; P:conversion of methionyl-tRNA to N-formyl-methionyl-tRNA		N	0	0	0	0	0	0	0	0
gene_1906.1	9.90015629255712	-0.674543898840394	104	Conserved hypothetical protein	Grosmannia clavigera	Ophiostoma piceae				0	-		N	14	24	2	18	6	9	8	14
gene_1907	0	0	332	Putative dihydroorotate dehydrogenase A (fumarate)	Grosmannia clavigera	Ophiostoma piceae	K00226	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	dihydroorotate dehydrogenase	5	P:oxidation-reduction process; P:UMP biosynthetic process; F:dihydroorotate dehydrogenase activity; F:catalytic activity; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1908	1.36398961642306	-0.628512060791141	205	DUF431 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf431 domain containing protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	2	0	8	2	0	2	0
gene_1909	2.41234549204213	-0.432725366416717	665	Pheromone processing carboxypeptidase kex1	Grosmannia clavigera	Ophiostoma piceae	K01288	KEX1; carboxypeptidase D [EC:3.4.16.6]	pheromone processing carboxypeptidase kex1	5	F:serine-type carboxypeptidase activity; C:Golgi apparatus; C:integral to membrane; P:proteolysis; P:apoptotic process	EC:3.4.16.0	Y	0	12	0	10	0	0	4	12
gene_191	10.1192475129809	-0.575069783118778	189	GTP-binding protein SAR1	Colletotrichum fioriniae	Colletotrichum fioriniae	K07953	SAR1; GTP-binding protein SAR1 [EC:3.6.5.-]	small copii coat gtpase	8	P:vesicle-mediated transport; C:ER to Golgi transport vesicle membrane; P:mycelium development; C:Golgi membrane; P:intracellular protein transport; F:hydrolase activity; C:endoplasmic reticulum membrane; F:GTP binding	-	N	14	37	0	33	8	4	14	8
gene_1910	0.445821712183493	-0.919640165643726	540	Meiotic sister chromatid recombination protein ish1	Grosmannia clavigera	Ophiostoma piceae			msc1 protein	0	-		Y	0	0	0	0	0	0	2	2
gene_1911	0	0	159	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7208	0	-		N	0	0	0	0	0	0	0	0
gene_1912	0	0	885	Putative uncharacterized protein	Sordaria macrospora	Ophiostoma piceae			conserved fungal protein	2	F:molecular_function; P:biological_process		N	0	0	0	0	0	0	0	0
gene_1913	4.85432771192107	2.09883074917639	245	Adenine phosphoribosyltransferase APRT 2.4.2.7	Colletotrichum gloeosporioides	Ophiostoma piceae	K00759	E2.4.2.7, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]	adenine phosphoribosyltransferase	5	C:cytoplasm; F:adenine phosphoribosyltransferase activity; P:nucleoside metabolic process; C:nucleus; P:adenine salvage	EC:2.4.2.7	N	20	42	0	25	0	2	0	2
gene_1914	0.255621547180249	0.595735747080933	476	Endo-1,4-beta-xylanase	Pestalotiopsis fici	Ophiostoma piceae	K01181	E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]	glycoside hydrolase family 11 protein	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process	EC:3.2.1.0	N	0	0	0	6	0	0	0	0
gene_1915	0	0	224	DNA-binding protein	Metarhizium acridum	Metarhizium acridum			dna-binding protein	1	F:DNA binding		N	0	0	0	0	0	0	0	0
gene_1916	0	0	1 368	Actin cytoskeleton-regulatory complex protein pan1	Caenorhabditis briggsae	Ophiostoma piceae			a2 protein	1	C:cell wall		Y	0	0	0	0	0	0	0	0
gene_1917	0.142126208150686	-0.360928788096184	149	Golgi apparatus membrane protein TVP18	Magnaporthe oryzae	Ophiostoma piceae			golgi apparatus membrane protein tvp18	2	C:Golgi membrane; C:integral to membrane	-	N	0	0	0	0	0	0	0	2
gene_1918	0.22165944657513	0.52939009036152	955	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1266	3	F:molecular_function; P:biological_process; C:cellular_component		N	2	2	0	0	0	0	0	0
gene_1919	9.67566645794137	-1.07841994088364	866	COPi vesicle coat subunit	Grosmannia clavigera	Ophiostoma piceae			coatomer beta subunit	4	F:structural molecule activity; P:vesicle-mediated transport; P:intracellular protein transport; C:membrane coat	-	N	9	22	0	32	10	0	18	12
gene_192	1.41888119204943	-0.536530879955242	854	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_7174	2	F:molecular_function; P:biological_process		N	6	0	0	2	0	4	0	0
gene_1920	1.89070414365803	-0.88873649558552	532	Mitochondrial fmn-dependent dehydrogenase	Grosmannia clavigera	Ophiostoma piceae			cytochrome b5-like protein	5	F:heme binding; F:metal ion binding; F:oxidoreductase activity; P:oxidation-reduction process; F:FMN binding	-	N	0	2	0	10	0	2	6	0
gene_1921	2.5465871538427	0.562722478722231	370	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7784	0	-		N	2	26	0	8	0	4	0	0
gene_1922	5.87035990331488	2.95612983941045	260	Probable proteasome subunit beta type-4	Grosmannia clavigera	Ophiostoma piceae	K02736	PSMB4; 20S proteasome subunit beta 7 [EC:3.4.25.1]	proteasome component pre4	5	C:cytoplasm; C:proteasome core complex; C:nucleus; F:threonine-type endopeptidase activity; P:proteolysis involved in cellular protein catabolic process	EC:3.4.25.0	N	0	24	8	18	0	0	0	4
gene_1923	0	0	316	Meiotically up-regulated gene 151 protein	Grosmannia clavigera	Ophiostoma piceae			hcngp-like protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1924	7.9899860027931	0.900462582308975	693	Major facilitator superfamily transporter phosphate	Grosmannia clavigera	Ophiostoma piceae			major facilitator superfamily transporter phosphate	3	P:transmembrane transport; C:integral to membrane; F:transmembrane transporter activity	-	N	16	14	2	64	0	0	8	20
gene_1925	0	0	325	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1926	0	0	512	Alpha-l-arabinofuranosidase	Grosmannia clavigera	Ophiostoma piceae	K01209	E3.2.1.55, abfA; alpha-N-arabinofuranosidase [EC:3.2.1.55]	glycoside hydrolase family 51 protein	4	P:L-arabinose metabolic process; P:polysaccharide catabolic process; F:alpha-N-arabinofuranosidase activity; F:cation binding	EC:3.2.1.55	N	0	0	0	0	0	0	0	0
gene_1927	0	0	759	Uncharacterized transcriptional regulatory protein YKL222C	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain-containing protein	2	P:transcription from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent	-	N	0	0	0	0	0	0	0	0
gene_1928	0.133965892724244	0.342477130775086	527	Maltose permease	Grosmannia clavigera	Ophiostoma piceae			maltose permease	3	P:transmembrane transport; C:integral to membrane; F:substrate-specific transmembrane transporter activity	-	N	2	0	0	0	0	0	0	0
gene_1929	0	0	533	Major facilitator superfamily transporter	Grosmannia clavigera	Ophiostoma piceae			yor378w-like protein	2	C:integral to membrane; P:transmembrane transport		N	0	0	0	0	0	0	0	0
gene_193	17.9638287850253	-0.410833164132026	180	ATP synthase subunit delta, mitochondrial (F-ATPase delta subunit)	Eutypa lata	Ophiostoma piceae	K02134	ATPeF1D, ATP5D; F-type H+-transporting ATPase subunit delta [EC:3.6.3.14]	atp synthase delta mitochondrial	5	F:hydrogen ion transporting ATP synthase activity, rotational mechanism; P:ATP synthesis coupled proton transport; P:ATP catabolic process; F:proton-transporting ATPase activity, rotational mechanism; C:mitochondrial proton-transporting ATP synthase, central stalk	-	N	25	70	0	68	4	22	10	34
gene_1930	0	0	246	Cell surface protein	Grosmannia clavigera	Ophiostoma piceae			cas1 appressorium specific protein	0	-		Y	0	0	0	0	0	0	0	0
gene_1931	0	0	321	J-type co-chaperone JAC1, mitochondrial (J-type accessory chaperone 1)	Togninia minima	Ophiostoma piceae	K04082	hscB, HSCB, HSC20; molecular chaperone HscB	co-chaperone protein	3	P:protein folding; F:chaperone binding; F:heat shock protein binding		N	0	0	0	0	0	0	0	0
gene_1932	0	0	1 088	Putative uncharacterized protein	Colletotrichum orbiculare	Ophiostoma piceae			hypothetical protein GLRG_01648	3	P:protein folding; F:chaperone binding; F:heat shock protein binding		N	0	0	0	0	0	0	0	0
gene_1933	0.0852071823934164	0.227019381253042	1 230	Snf2 family helicase	Grosmannia clavigera	Ophiostoma piceae			snf2 family helicase	4	F:helicase activity; F:nucleic acid binding; F:ATP binding; F:DNA binding		N	0	0	0	2	0	0	0	0
gene_1934	0	0	851	Zinc finger transcription factor YRR1 (Pleiotropic drug-resistance protein 2)	Podospora anserina	Ophiostoma piceae			hypothetical protein	9	P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent		N	0	0	0	0	0	0	0	0
gene_1935	5.02189097801992	0.404175095499154	390	26S protease regulatory subunit	Grosmannia clavigera	Ophiostoma piceae	K03064	PSMC6, RPT4; 26S proteasome regulatory subunit T4	26s protease regulatory subunit s10b	7	C:cytoplasm; F:peptidase activity; P:protein catabolic process; F:ATP binding; C:proteasome complex; F:nucleoside-triphosphatase activity; P:proteolysis	EC:3.6.1.15	N	10	36	0	16	2	0	4	12
gene_1936	0	0	347	FAD binding domain-containing protein	Togninia minima	Togninia minima			fad binding domain-containing protein	6	P:oxidation-reduction process; F:oxidoreductase activity; F:UDP-N-acetylmuramate dehydrogenase activity; F:catalytic activity; F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding		N	0	0	0	0	0	0	0	0
gene_1937	15.1645449045167	0.496662956587845	707	Glucosamine-6-phosphate synthase	Grosmannia clavigera	Ophiostoma piceae	K00820	E2.6.1.16, glmS; glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	glucosamine-fructose-6-phosphate aminotransferase	4	C:cytoplasm; P:fungal-type cell wall chitin biosynthetic process; F:carbohydrate binding; F:glutamine-fructose-6-phosphate transaminase (isomerizing) activity	EC:2.6.1.16	N	74	33	0	60	2	10	12	20
gene_1938	12.5790073935415	-0.978170775618369	581	Eukaryotic translation initiation factor 3 subunit D (eIF3d)	Togninia minima	Ophiostoma piceae	K03251	EIF3D; translation initiation factor 3 subunit D	eukaryotic translation initiation factor 3 subunit d	5	C:cytoplasm; P:translational initiation; P:mycelium development; F:hydrolase activity; F:translation initiation factor activity	-	N	22	34	0	26	8	10	10	30
gene_1939	0	0	438	Snf2 family helicase	Grosmannia clavigera	Ophiostoma piceae			ubiquitin-conjugating enzyme e2c-binding protein	4	F:helicase activity; F:nucleic acid binding; F:ATP binding; F:DNA binding		N	0	0	0	0	0	0	0	0
gene_194	0.303695504032807	-0.684720916430889	207	Isochorismatase family protein 1B	Grosmannia clavigera	Ophiostoma piceae			isochorismatase domain-containing protein	2	F:catalytic activity; P:metabolic process	-	N	0	0	0	0	0	0	2	0
gene_1940	0	0	903	DNA cross-link repair protein pso2/snm1	Grosmannia clavigera	Ophiostoma piceae	K15340	DCLRE1A, SNM1A, PSO2; DNA cross-link repair 1A protein	dna cross-link repair protein snm1	1	F:hydrolase activity		N	0	0	0	0	0	0	0	0
gene_1941	1.7042359154635	-0.827135844264355	97	U6 snRNA-associated Sm-like protein LSm2	Neurospora tetrasperma	Ophiostoma piceae	K12621	LSM2; U6 snRNA-associated Sm-like protein LSm2	small nuclear ribonucleoprotein lsm2	7	C:nucleolus; C:U6 snRNP; F:nucleic acid binding; C:U4/U6 x U5 tri-snRNP complex; C:small nucleolar ribonucleoprotein complex; P:nuclear mRNA splicing, via spliceosome; C:cytoplasmic mRNA processing body	-	N	2	0	0	8	2	0	3	2
gene_1942	0.607391008065614	-1.14716471244978	248	Nuclear transcription factor Y subunit A-7	Magnaporthe oryzae	Ophiostoma piceae	K08064	NFYA; nuclear transcription factor Y, alpha	nuclear transcription factor y subunit a-7	1	P:mycelium development	-	N	0	0	0	0	0	0	4	0
gene_1943	0	0	431	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_611	0	-		N	0	0	0	0	0	0	0	0
gene_1944	0	0	909	Fanconi-associated nuclease 1 homolog	Magnaporthe oryzae	Ophiostoma piceae	K15363	FAN1, MTMR15; fanconi-associated nuclease 1	coiled-coil domain-containing protein mtmr15	4	F:molecular_function; F:hydrolase activity, acting on ester bonds; P:biological_process; C:nucleus		N	0	0	0	0	0	0	0	0
gene_1945	0	0	128	Putative COMPASS component SDC1	Togninia minima	Ophiostoma piceae	K14968	CPS25, SDC1; COMPASS component SDC1	dpy-30 domain-containing protein	1	F:molecular_function		N	0	0	0	0	0	0	0	0
gene_1946	60.7924531870957	0.699858140620893	151	40S ribosomal protein S13 (S15)	Togninia minima	Ophiostoma piceae	K02953	RP-S13e, RPS13; small subunit ribosomal protein S13e	40s ribosomal protein s13	6	C:ribosome; P:mycelium development; F:nucleic acid binding; F:structural constituent of ribosome; P:translation; F:nucleotide binding	-	N	128	129	38	132	34	12	28	74
gene_1947	0.765737721689942	-0.836106001953236	639	Splicing factor U2AF 50 kDa subunit (U2 snRNP auxiliary factor large subunit)	Colletotrichum fioriniae	Ophiostoma piceae	K12837	U2AF2; splicing factor U2AF 65 kDa subunit	u2 snrnp auxilliary factor	1	F:nucleic acid binding	-	N	2	0	0	0	2	0	0	0
gene_1948	0	0	460	N-glycosylase/DNA lyase	Trichoderma virens	Ophiostoma piceae	K03660	OGG1; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]	n-glycosylase dna lyase	2	F:catalytic activity; P:DNA repair	-	N	0	0	0	0	0	0	0	0
gene_1949	2.99125662198886	-0.347300470790949	1 245	Splicing factor 3B subunit 1 (Spliceosome-associated protein 155)	Grosmannia clavigera	Ophiostoma piceae	K12828	SF3B1, SAP155; splicing factor 3B subunit 1	u2 snrnp component prp10	0	-		N	2	12	0	14	0	0	3	18
gene_195	0.267931785448488	0.619050068707501	699	Ubiquitin carboxyl-terminal hydrolase 19	Grosmannia clavigera	Ophiostoma piceae			ubiquitin carboxyl-terminal hydrolase 19	1	F:hydrolase activity		N	4	0	0	0	0	0	0	0
gene_1950	19.7624201539221	1.06970409227904	392	S-adenosylmethionine synthase (AdoMet synthase)	Grosmannia clavigera	Ophiostoma piceae	K00789	E2.5.1.6, metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	s-adenosylmethionine synthetase	6	F:methionine adenosyltransferase activity; F:metal ion binding; P:S-adenosylmethionine biosynthetic process; P:one-carbon metabolic process; F:ATP binding; P:methanogenesis	EC:2.5.1.6	N	28	51	16	45	0	10	18	16
gene_1951	0	0	1 415	ABC multidrug transporter	Grosmannia clavigera	Ophiostoma piceae			abc multidrug	5	P:transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:ATP catabolic process; F:ATP binding	-	N	0	0	0	0	0	0	0	0
gene_1952	0.227333390544102	-0.133909406843142	1 049	Protein STB5	Chaetomium globosum	Ophiostoma piceae			c6 transcription	2	P:transcription, DNA-dependent; F:binding	-	N	0	0	0	2	0	0	0	2
