Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	A_T1_Rep1	A_T1_Rep2	A_T1_Rep3	A_T1_Rep4	A_T2_Rep1	A_T2_Rep2	A_T2_Rep3	A_T2_Rep4
gene_2539	9.44696413712255	0.402210861697714	524	Cytosine-purine permease	Grosmannia clavigera	Ophiostoma piceae			ncs1 nucleoside transporter	3	P:nucleobase transport; C:membrane; F:nucleobase transmembrane transporter activity	-	N	6	44	16	11	4	4	8	0
gene_254	8.90051767361205	-0.60229276251412	491	FAD dependent oxidoreductase superfamily	Grosmannia clavigera	Ophiostoma piceae			fad dependent oxidoreductase	2	P:oxidation-reduction process; F:oxidoreductase activity		N	8	16	12	8	4	12	2	18
gene_2540	4.0913065281143	1.5405389076311	284	Riboflavin biosynthesis protein	Grosmannia clavigera	Ophiostoma piceae	K14654	RIB7, arfC; 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase [EC:1.1.1.302]	riboflavin biosynthesis protein	1		-	N	14	7	5	10	0	0	3	3
gene_2541	9.39187645341326	-0.102339056392583	114	Putative uncharacterized protein	Aspergillus ruber	Ophiostoma piceae			---NA---	0	-		N	11	28	17	7	2	16	6	5
gene_2542	26.8871992175251	-0.910368016087144	492	3-hydroxybenzoate 6-hydroxylase 1	Togninia minima	Ophiostoma piceae			salicylate hydroxylase	1	P:metabolic process	-	N	16	59	20	24	0	69	20	45
gene_2543	7.49085242262225	-0.749829243970203	1 270	DUF221 domain protein	Grosmannia clavigera	Ophiostoma piceae			duf221 domain protein	1	C:membrane	-	N	2	15	22	2	0	6	10	26
gene_2544	11.9383246050669	0.01945168770756	232	54S ribosomal protein L41, mitochondrial (YmL41)	Grosmannia clavigera	Ophiostoma piceae			ribosomal protein l23	1	C:intracellular	-	N	22	30	22	8	4	2	14	14
gene_2545	8.4537911626284	2.17283376241847	403	MT-a70 family protein	Grosmannia clavigera	Ophiostoma piceae			mt-a70 family	4	P:nucleobase-containing compound metabolic process; F:nucleic acid binding; F:methyltransferase activity; P:methylation		N	28	40	16	12	0	2	4	2
gene_2546	10.2604928256986	0.108944308482214	368	Mitochondrial carrier protein LEU5	Grosmannia clavigera	Ophiostoma piceae	K15084	SLC25A16, GDA, LEU5; solute carrier family 25 (mitochondrial carrier protein), member 16	mitochondrial carrier protein	3	C:mitochondrial inner membrane; C:integral to membrane; P:transmembrane transport	-	N	14	29	12	13	2	2	12	18
gene_2547	25.7260320264201	-3.76825924529109	576	Phosphate/H+ symporter	Grosmannia clavigera	Ophiostoma piceae	K08176	PHO84; MFS transporter, PHS family, inorganic phosphate transporter	phosphate h+ symporter	4	P:phosphate ion transport; C:integral to membrane; F:inorganic phosphate transmembrane transporter activity; P:transmembrane transport	-	N	0	9	0	6	34	44	0	23
gene_2548	3.90814966707964	1.08837946426247	359	FAM203 family protein C1020.12c	Stachybotrys chlorohalonata	Ophiostoma piceae			cytoplasm protein	0	-		N	16	4	11	4	0	0	4	4
gene_2549	8.3317020227479	1.03709339746772	495	rRNA processing protein	Grosmannia clavigera	Ophiostoma piceae	K14797	ENP1, BYSL; essential nuclear protein 1	rrna processing protein	0	-		N	6	37	27	11	0	0	2	28
gene_255	24.4922544626658	0.888007211968311	473	Homogentisate-dioxygenase	Grosmannia clavigera	Ophiostoma piceae	K00451	HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]	homogentisate -dioxygenase	4	F:homogentisate 1,2-dioxygenase activity; P:L-phenylalanine catabolic process; P:oxidation-reduction process; P:tyrosine metabolic process	EC:1.13.11.5	N	28	133	14	40	10	4	10	16
gene_2550	6.54302220535491	3.05295474931704	418	Pol 2 transcription elongation factor subunit	Grosmannia clavigera	Ophiostoma piceae	K15175	CDC73; parafibromin	pol 2 transcription elongation factor subunit	2	F:translation elongation factor activity; P:translational elongation	-	N	16	35	16	14	0	0	0	4
gene_2552	63.5198608641698	0.727277090976924	781	Developmental regulator flbA	Grosmannia clavigera	Ophiostoma piceae			developmental regulator flba	6	P:intracellular signal transduction; P:termination of G-protein coupled receptor signaling pathway; P:positive regulation of GTPase activity; F:GTPase activator activity; C:cytoplasm; C:plasma membrane	-	N	92	240	152	66	6	39	48	77
gene_2553	10.3564305471224	1.21046677492195	464	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	8	72	12	15	1	10	5	0
gene_2554	9.16784121345722	1.20988883712312	976	Origin recognition complex subunit 4	Sordaria macrospora	Ophiostoma piceae	K02606	ORC4; origin recognition complex subunit 4	origin recognition complex subunit 4	2	F:organic cyclic compound binding; 	-	N	6	40	22	18	0	12	4	0
gene_2555	2.71204288962849	-0.866608508428446	524	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	Colletotrichum fioriniae	Ophiostoma piceae			grf zinc finger domain-containing protein	4	P:oxidation-reduction process; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; F:oxidoreductase activity; F:zinc ion binding		N	0	8	6	0	0	8	2	4
gene_2556	0.107670408794047	0.28136094502011	586	Putative uncharacterized protein	Podospora anserina	Ophiostoma piceae			hypothetical protein	0	-		N	0	2	0	0	0	0	0	0
gene_2557	8.83223299570343	0.55073516089087	647	Methylenetetrahydrofolate reductase	Grosmannia clavigera	Ophiostoma piceae	K00297	E1.5.1.20, metF; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	methylenetetrahydrofolate reductase 1	4	F:methylenetetrahydrofolate reductase (NADPH) activity; C:mitochondrion; P:oxidation-reduction process; P:methionine metabolic process	EC:1.5.1.20	N	22	28	22	4	4	5	0	11
gene_2558	6.97846815621078	0.082637561870519	792	Elongation factor 2	Grosmannia clavigera	Ophiostoma piceae			rna recognition domain-containing protein	2	F:organic cyclic compound binding; 	-	N	16	27	8	2	0	2	8	20
gene_2559	386.09404739264	0.0865616446487049	844	Elongation factor 2 (EF-2, Colonial temperature-sensitive 3)	Trichoderma reesei	Ophiostoma piceae	K03234	EEF2; elongation factor 2	elongation factor 2	7	F:translation elongation factor activity; F:zinc ion binding; P:GTP catabolic process; P:positive regulation of translational elongation; F:GTPase activity; C:cytoplasm; F:GTP binding	-	N	594	775	858	369	89	249	273	721
gene_256	223.816264782756	-0.47149227613785	200	Putative uncharacterized protein	Claviceps purpurea	Ophiostoma piceae			hypothetical protein GLRG_09819	0	-		N	143	619	350	184	73	108	238	442
gene_2560	13.7294891994585	1.00766812585758	3 521	Protein CSF1 (Cold sensitive for fermentation protein 1)	Grosmannia clavigera	Ophiostoma piceae			fermentation associated protein	3	C:mitochondrion; P:fermentation; F:molecular_function		N	18	24	36	30	2	4	6	22
gene_2561	10.4643695122712	0.146090917794025	620	Transmembrane protein 184 homolog C30D11.06c	Chaetomium thermophilum	Ophiostoma piceae			duf300 domain containing protein	0	-		N	8	22	44	6	0	14	10	12
gene_2562	16.5973732600439	0.370479685476808	1 179	Peptidase family M20 M25 M40 protein	Grosmannia clavigera	Ophiostoma piceae			peptidase family m20 m25 m40 protein	1	F:phospholipid binding		N	10	51	34	26	0	20	17	12
gene_2563	71.1506997952604	0.27998038709333	635	F-box protein YLR352W	Grosmannia clavigera	Ophiostoma piceae			leucine rich repeat domain containing protein	0	-		N	26	466	72	51	4	6	111	106
gene_2564	50.1018549563045	-0.141094749416463	886	Vacuolar ATPase	Grosmannia clavigera	Ophiostoma piceae	K02154	ATPeVI, ATP6N1A; V-type H+-transporting ATPase subunit I [EC:3.6.3.14]	vacuolar atp synthase 98 kda subunit	8	C:fungal-type vacuole membrane; C:integral to membrane; P:polyphosphate metabolic process; P:protein complex assembly; P:vacuolar acidification; F:proton-transporting ATPase activity, rotational mechanism; C:vacuolar proton-transporting V-type ATPase, V0 domain; P:ATP hydrolysis coupled proton transport	-	N	112	75	77	38	22	45	25	57
gene_2565	26.1682212913705	-0.517797596836952	824	Cyclic-AMP-mediated signaling protein	Grosmannia clavigera	Ophiostoma piceae			t-complex protein 11	0	-		N	22	75	35	18	0	26	36	61
gene_2567	5.68742486427595	0.00608022669712189	46	Transmembrane protein 167	Grosmannia clavigera	Ophiostoma piceae			transmembrane protein 167 precursor	1	C:integral to membrane	-	N	0	19	11	8	2	4	6	2
gene_2568	6.97610743782825	0.75984349376012	268	Transcription initiation factor TFIID subunit 13 (TBP-associated factor 13)	Grosmannia clavigera	Ophiostoma piceae	K03127	TAF13; transcription initiation factor TFIID subunit 13	transcription initiation factor tfiid subunit	4	P:translational initiation; F:translation initiation factor activity; F:protein heterodimerization activity; P:transcription from RNA polymerase II promoter	-	N	12	17	14	12	0	5	9	0
gene_2569	8.64357158397263	-0.190057617769295	560	Major facilitator superfamily transporter	Grosmannia clavigera	Ophiostoma piceae			integral membrane protein duf6	1	P:cellular nitrogen compound biosynthetic process	-	N	8	24	23	4	0	6	0	48
gene_257	6.16847142156457	-0.162114500578148	154	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	2	11	9	11	6	0	0	6
gene_2570	8.83456655980474	1.3817600429245	454	RuvB-like helicase 1	Grosmannia clavigera	Ophiostoma piceae	K04499	RUVBL1, RVB1, INO80H; RuvB-like protein 1 (pontin 52)	-like helicase 1	7	P:chromatin modification; F:DNA helicase activity; P:DNA duplex unwinding; P:DNA repair; P:regulation of transcription, DNA-dependent; F:ATP binding; C:nucleus	-	N	12	20	31	18	0	4	2	16
gene_2571	1.96600581803074	1.43280409861467	1 025	Putative MAT1-2-1H327 mating type protein	Grosmannia clavigera	Ophiostoma piceae	K09270	SOX7S; transcription factor SOX7/8/9/10/18 (SOX group E/F)	hmg box protein	0	-		N	0	0	26	0	0	2	0	0
gene_2572	8.14514475326085	-1.00139013728418	284	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			galactose-proton symport	5	F:methyltransferase activity; F:transferase activity; P:methylation; F:molecular_function; P:biological_process		N	4	12	20	2	0	16	9	19
gene_2573	10.3664172851889	-0.638186377167131	753	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_1198	3	F:molecular_function; P:biological_process; C:cellular_component		N	7	20	18	8	0	12	12	30
gene_2574	35.3566897207082	0.364578350600155	139	60S ribosomal protein L26-1	Grosmannia clavigera	Ophiostoma piceae	K02898	RP-L26e, RPL26; large subunit ribosomal protein L26e	60s ribosomal protein l26	3	F:structural constituent of ribosome; C:large ribosomal subunit; P:translation	-	N	39	98	90	40	9	20	4	95
gene_2575	0	0	310	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_03966	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_2576	0	0	731	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein GGTG_04616	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_2577	15.9413057656355	0.0324096395535661	1 493	Dynactin (DAP-150)	Fusarium verticillioides	Ophiostoma piceae	K04648	DCTN1; dynactin 1	cap-gly domain-containing protein	0	-		N	18	35	42	14	2	12	18	22
gene_2578	11.4840291662763	0.484553773066047	308	Signal recognition particle SEC65 subunit	Togninia minima	Ophiostoma piceae	K03105	SRP19; signal recognition particle subunit SRP19	signal recognition particle	3	F:7S RNA binding; P:SRP-dependent cotranslational protein targeting to membrane; C:signal recognition particle		N	22	22	10	22	2	2	8	25
gene_2579	14.8287382536065	-0.626686237721651	479	Putative uncharacterized protein	Sordaria macrospora	Ophiostoma piceae			ccch zinc finger dna binding protein	2	F:nucleic acid binding; F:zinc ion binding		N	18	38	27	3	6	5	14	37
gene_258	19.1127212662504	1.44133021939252	835	ATP-dependent zinc metalloprotease FtsH	Ajellomyces capsulatus	Ophiostoma piceae			atpase protein	2	F:nucleoside-triphosphatase activity; F:ATP binding	EC:3.6.1.15	N	18	92	46	34	4	0	0	39
gene_2580	33.8302573179523	0.655642474930072	934	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			fungal specific transcription factor domain-containing protein	2	P:transcription, DNA-dependent; F:binding	-	N	55	79	76	50	10	18	14	38
gene_2581	13.4300292391187	-0.545200596162279	452	Orotidine 5'-phosphate decarboxylase	Grosmannia clavigera	Ophiostoma piceae	K13421	UMPS; uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]	orotidine 5 -phosphate decarboxylase	3	F:carboxy-lyase activity; P:nucleobase-containing small molecule metabolic process; P:pyrimidine-containing compound biosynthetic process	EC:4.1.1.0	N	20	25	10	12	5	1	8	52
gene_2582	14.2041571279477	-0.940464265252531	301	CDP-diacylglycerol-inositol 3-phosphatidyltransferase	Grosmannia clavigera	Ophiostoma piceae	K00999	CDIPT; CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]	cdp-diacylglycerol-inositol 3-phosphatidyltransferase	3	C:membrane; F:phosphotransferase activity, for other substituted phosphate groups; P:phospholipid biosynthetic process	EC:2.7.8.0	N	15	13	23	9	0	34	14	22
gene_2583	13.3291134665939	0.284813875554396	667	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1059	0	-		N	34	18	33	10	2	16	8	14
gene_2584	5.67901152150333	1.09762918468377	655	Protein phosphatase 2C homolog 4 (PP2C-4)	Grosmannia clavigera	Ophiostoma piceae			protein phosphatase 1k	1	F:phosphoprotein phosphatase activity	EC:3.1.3.16	N	6	24	22	6	1	0	2	10
gene_2585	29.9832202115632	-0.513358047577488	871	Vegetative incompatibility protein Het-C	Grosmannia clavigera	Ophiostoma piceae			het-c domain containing protein	0	-		Y	36	59	46	22	16	2	28	59
gene_2586	34.7313036103935	-1.14446637073746	382	Fatty acid hydroxylase	Grosmannia clavigera	Ophiostoma piceae			inositolphosphorylceramide-b c-26 hydroxylase	7	P:fatty acid biosynthetic process; P:sphingolipid metabolic process; F:oxidoreductase activity; F:iron ion binding; F:heme binding; C:endoplasmic reticulum; P:oxidation-reduction process	-	N	33	50	32	22	33	14	26	20
gene_2587	13.872828403064	0.928486328443429	618	RNA splicing factor	Grosmannia clavigera	Ophiostoma piceae	K13091	RBM39, RNPC2; RNA-binding protein 39	rna splicing factor pad-1	4	F:RNA binding; P:mRNA processing; C:nucleus; F:nucleotide binding	-	N	14	56	24	25	1	4	6	31
gene_2588	0	0	517	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_3747	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_2589	23.2999622936992	2.37633800281814	455	von Willebrand factor	Grosmannia clavigera	Ophiostoma piceae			von willebrand factor	0	-		N	48	111	57	44	0	6	10	8
gene_2590	25.9877306801304	0.822720195235605	467	Aminotransferase, class i/classii	Grosmannia clavigera	Ophiostoma piceae			aminotransferase class i and ii	3	F:pyridoxal phosphate binding; P:biosynthetic process; F:transaminase activity	EC:2.6.1.0	N	63	58	81	22	2	18	18	28
gene_2591	66.6465471565954	0.321400476655207	309	Bzip transcription factor	Grosmannia clavigera	Sporothrix schenckii			regulatory protein cys-3	4	F:sequence-specific DNA binding transcription factor activity; F:sequence-specific DNA binding; F:protein dimerization activity; P:regulation of transcription, DNA-dependent	-	N	127	137	186	50	16	73	25	81
gene_2592	0	0	125	Putative uncharacterized protein	Fusarium fujikuroi	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_2593	3.6960385073309	-0.823436146094672	357	Glycerate dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K00049	GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	glycerate dehydrogenase	3	P:metabolic process; F:nucleotide binding; F:cofactor binding	-	N	6	8	4	0	0	8	6	2
gene_2594	2.14381620413393	-0.445795522382078	585	Quinidine resistance protein 1	Fusarium fujikuroi	Ophiostoma piceae			mfs	2	C:integral to membrane; P:transmembrane transport		N	4	2	6	0	0	0	2	12
gene_2595	6.29042448368378	-0.91930731122573	230	C-factor (C signal)	Chaetomium globosum	Ophiostoma piceae			aflatoxin biosynthesis ketoreductase nor-1	1	P:metabolic process	-	N	8	5	8	4	0	0	2	50
gene_2596	13.5413965775733	-1.30962344426838	1 693	Sec7 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			sec7 domain-containing protein	4	P:regulation of ARF protein signal transduction; F:ARF guanyl-nucleotide exchange factor activity; C:intracellular; F:phospholipid binding		N	8	22	24	2	0	47	6	21
gene_2597	4.09798293795546	2.76050127232676	491	Major facilitator superfamily transporter	Grosmannia clavigera	Ophiostoma piceae			major facilitator superfamily transporter	2	P:transmembrane transport; C:integral to membrane	-	N	10	19	17	7	0	0	0	2
gene_2598	5.90923205077065	0.940399780736818	1 170	Paxillin	Magnaporthe oryzae	Ophiostoma piceae	K05760	PXN; paxillin	lim domain containing protein	4	F:metal ion binding; F:zinc ion binding; P:biological_process; C:cellular_component		N	14	6	22	8	0	0	0	24
gene_2599	23.5467056992148	0.521461254421903	92	Ubiquitin-like protein pmt3/smt3	Grosmannia clavigera	Ophiostoma piceae	K12160	SUMO, SMT3; small ubiquitin-related modifier	ubiquitin-like modifier	0	-		N	48	58	40	30	1	13	18	48
gene_26	20.5521919681451	1.64613912329104	158	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_06646	0	-		N	73	44	50	29	2	2	13	13
gene_260	18.5687571532591	0.944084782327257	697	Protein pim1 (Poly(A)+ RNA transport protein 2)	Gaeumannomyces graminis	Ophiostoma piceae			rcc1 domain-containing protein	0	-		N	30	67	38	27	0	20	11	14
gene_2600	0.128024588426618	0.32889294974977	93	Cx9C motif-containing protein 4, mitochondrial	Phaeosphaeria nodorum	Phaeosphaeria nodorum			duf1903-domain-containing protein	1	C:mitochondrial intermembrane space	-	N	0	0	2	0	0	0	0	0
gene_2601	14.9180748020641	-0.38596802937152	1 036	Nucleoporin nup107	Grosmannia clavigera	Ophiostoma piceae	K14301	NUP107; nuclear pore complex protein Nup107	nuclear pore complex protein	1	P:mycelium development	-	N	12	34	16	18	12	12	4	4
gene_2602	3.16758178140514	0.514609799477185	643	Prolyl-tRNA synthetase	Colletotrichum higginsianum	Ophiostoma piceae	K01881	PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]	prolyl-trna synthetase 1	7	F:proline-tRNA ligase activity; F:ATP binding; C:cytoplasm; F:aminoacyl-tRNA ligase activity; P:prolyl-tRNA aminoacylation; F:nucleotide binding; P:tRNA aminoacylation for protein translation		N	4	10	8	4	0	2	4	2
gene_2603	17.5565329903355	0.210461787769474	1 157	CCAAT-box-binding transcription factor	Togninia minima	Ophiostoma piceae	K14832	MAK21, NOC1, CEBPZ; ribosome biogenesis protein MAK21	ribosome biogenesis protein mak21	2	C:Noc1p-Noc2p complex; P:ribosomal large subunit assembly	-	N	4	76	28	23	0	10	20	36
gene_2604	11.6716644709106	0.859008177769775	143	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_3825	0	-		N	36	42	28	4	2	2	8	16
gene_2605	23.0944883747045	0.977487011751917	2 190	Nucleoprotein TPR	Grosmannia clavigera	Ophiostoma piceae	K09291	TPR; nucleoprotein TPR	tpr domain filament-forming protein	5	C:nuclear pore; P:protein import into nucleus; P:mycelium development; F:hydrolase activity; P:metabolic process	-	N	28	58	55	46	0	4	14	56
gene_2606	27.4622547025883	2.39930172086727	389	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			transcription factor bzip	4	P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:sequence-specific DNA binding transcription factor activity; F:protein dimerization activity		N	34	143	69	60	0	0	2	47
gene_2608	5.19087113007736	1.1216253396737	284	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_16429	3	P:mycelium development; F:molecular_function; C:cellular_component		Y	10	30	9	5	0	0	6	4
gene_2609	11.2780638064533	1.12177019400495	658	ADP-ribosylation factor	Togninia minima	Ophiostoma piceae			adp-ribosylation factor	4	C:membrane; P:transmembrane transport; P:metal ion transport; F:metal ion transmembrane transporter activity		N	46	36	28	2	0	8	4	18
gene_261	6.80374581210141	0.751952319352808	352	Protein transport protein yip1	Villosiclava virens	Sporothrix schenckii			golgi membrane	0	-		N	14	10	11	14	0	2	7	10
gene_2610	2.81523507163465	0.875185511386428	281	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	8	14	4	2	0	0	2	6
gene_2611	9.87412174709441	0.149059862299722	399	Thioesterase	Ajellomyces capsulatus	Ophiostoma piceae			thioesterase family protein	0	-		N	10	27	28	8	2	18	2	8
gene_2612	7.99439011529193	0.14362943832546	836	ATP-dependent RNA helicase MAK5	Colletotrichum orbiculare	Ophiostoma piceae	K14805	DDX24, MAK5; ATP-dependent RNA helicase DDX24/MAK5 [EC:3.6.4.13]	atp-dependent rna helicase mak5	5	F:nucleic acid binding; P:ribosome biogenesis; F:nucleotide binding; F:helicase activity; C:nucleus	-	N	10	14	8	15	0	2	6	30
gene_2613	7.93351216247856	1.89719923506884	719	Telomeric repeat-binding factor 2-interacting protein 1 (Repressor/activator protein 1 homolog)	Grosmannia clavigera	Ophiostoma piceae			transcription factor	8	C:intracellular; F:DNA binding; P:regulation of transcription, DNA-dependent; F:RNA polymerase II transcription cofactor activity; P:transcription, DNA-dependent; C:mediator complex; P:regulation of transcription from RNA polymerase II promoter; C:nucleus		N	9	52	29	8	0	2	0	14
gene_2614	5.97520533503357	0.767506100583633	424	Palmitoyltransferase SWF1	Grosmannia clavigera	Ophiostoma piceae			palmitoyltransferase swf1	3	C:membrane; F:metal ion binding; F:transferase activity	-	N	8	16	28	4	0	0	4	17
gene_2615	6.73803829931966	-0.607681398891557	652	GTP-binding protein	Grosmannia clavigera	Ophiostoma piceae	K03978	engB; GTP-binding protein	gtp-binding protein	2	F:GTP binding; P:biological_process		N	9	14	12	2	0	2	4	40
gene_2616	3.51165071423598	1.09808079517427	121	Ras guanyl-nucleotide exchange factor	Grosmannia clavigera	Ophiostoma piceae			fmc1 protein family	0	-		N	6	22	5	4	1	0	0	6
gene_2617	10.3443959457858	0.336805666103892	1 426	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_3534	3	F:molecular_function; P:biological_process; C:cellular_component		N	12	44	36	1	0	0	16	19
gene_2618	26.1857566465627	0.574256620263855	328	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			hsp90 co-chaperone aha1	7	C:cytosol; F:heat shock protein binding; P:protein folding; F:chaperone binding; P:positive regulation of ATPase activity; F:ATPase activator activity; P:response to stress	-	N	32	79	65	33	8	16	22	1
gene_2619	14.3870370650411	0.282199419094568	337	Putative uncharacterized protein	Neurospora crassa	Ophiostoma piceae			carbon-nitrogen hydrolase	7	P:nitrogen compound metabolic process; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; F:hydrolase activity; F:ATPase activator activity; P:positive regulation of ATPase activity; P:response to stress; F:chaperone binding		N	22	44	36	10	6	19	4	0
gene_262	5.61920300857253	1.56944204083107	144	Mitochondrial import inner membrane translocase subunit tim-16 (Presequence translocated-associated motor subunit pam-16)	Grosmannia clavigera	Ophiostoma piceae			mitochondrial import inner membrane translocase subunit tim16	4	F:heat shock protein binding; P:transport; C:membrane; C:mitochondrion	-	N	3	15	31	10	2	1	0	1
gene_2620	140.955721199068	-1.25510456083558	552	Pisatin demethylase (CYP532A14)	Grosmannia clavigera	Ophiostoma piceae			cytochrome p450	8	F:heme binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:monooxygenase activity; F:iron ion binding; P:methylation; F:electron carrier activity; P:oxidation-reduction process; F:methyltransferase activity	EC:2.1.1.0	N	82	239	153	84	30	335	100	205
gene_2621	27.3460725341621	-0.699400371113209	1 296	Patched sphingolipid transporter	Grosmannia clavigera	Ophiostoma piceae	K12385	NPC1; Niemann-Pick C1 protein	niemann-pick c1 protein	3	P:cholesterol transport; C:integral to membrane; F:hedgehog receptor activity	-	Y	8	47	45	30	17	23	11	45
gene_2622	7.69394241348901	0.762214764071761	1 343	Putative uncharacterized protein	Botrytis cinerea	Ophiostoma piceae			f-box domain containing protein	2	F:zinc ion binding; C:intracellular	-	N	13	17	11	16	0	16	0	4
gene_2623	10.6577522803357	-0.480111203920491	522	Cytochrome P450 (CYP559B3)	Grosmannia clavigera	Ophiostoma piceae			cytochrome p450	2	F:oxidoreductase activity; F:binding	-	N	24	21	10	4	2	16	4	28
gene_2624	1.79409510411452	2.19792520102694	382	Aryl-alcohol dehydrogenase	Cladophialophora psammophila	Ophiostoma piceae	K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]	aryl-alcohol dehydrogenase	6	F:metal ion binding; P:oxidation-reduction process; F:oxidoreductase activity; F:zinc ion binding; F:nucleotide binding; F:aryl-alcohol dehydrogenase (NAD+) activity		N	4	8	16	0	0	0	0	0
gene_2625	10.140984340672	-4.41155970791828	298	Major allergen Asp f 2	Fusarium verticillioides	Ophiostoma piceae			major allergen asp f 2-like protein	0	-		Y	0	0	0	0	2	61	0	0
gene_2626	17.2686513233415	-0.282947319751683	629	Putative uncharacterized protein	Coniosporium apollinis	Sporothrix schenckii			duf1446 domain protein	0	-		N	18	48	26	14	0	4	29	44
gene_2627	4.50909348171201	2.53397573930732	798	Neutral/alkaline nonlysosomal ceramidase	Togninia minima	Ophiostoma piceae	K12349	ASAH2; neutral ceramidase [EC:3.5.1.23]	neutral ceramidase precursor	0	-		N	14	26	12	6	0	0	0	4
gene_2628	5.75400954394407	0.114359087927893	304	Methyltransferase-like protein 1	Grosmannia clavigera	Ophiostoma piceae	K03439	trmB, METTL1; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	trna (guanine-n -)-methyltransferase	5	F:RNA binding; P:methylation; F:methyltransferase activity; P:tRNA processing; P:RNA modification	EC:2.1.1.0	N	18	10	6	4	0	4	8	8
gene_2629	6.55008367378083	-0.841051614508722	361	Putative uncharacterized protein	Fusarium oxysporum	Ophiostoma piceae			hypothetical protein FOXB_11184	0	-		N	8	16	6	2	2	18	2	4
gene_263	0	0	400	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_2630	11.6278103822178	0.299149070595593	291	DUF887-domain-containing protein	Neurospora tetrasperma	Ophiostoma piceae			duf887-domain-containing partial	1	C:membrane	-	N	28	33	23	6	0	23	4	12
gene_2631	4.29677360808625	-0.427986192984386	519	Conserved oligomeric Golgi complex subunit 8	Chaetomium globosum	Ophiostoma piceae			dor1-like protein	0	-		N	2	20	8	0	0	0	6	18
gene_2632	2.63412629947848	1.79916212866084	360	Mitochondrial carrier protein	Grosmannia clavigera	Ophiostoma piceae	K15118	SLC25A38; solute carrier family 25, member 38	solute carrier family 25 member 38	2	C:membrane; C:mitochondrion	-	N	4	6	4	10	0	0	0	4
gene_2633	113.963415604997	2.145029863855	545	Reticulocyte binding protein 2 homolog A	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_6050	0	-		N	204	560	380	153	4	16	34	128
